bt_date,n_players,field_hit1_rate,field_hit2_rate,field_avg_actual,n_field,top_5_hit1_rate,top_5_hit2_rate,top_5_avg_actual,top_5_lift_hit1,top_5_lift_hit2,top_5_lift_avg,top_10_hit1_rate,top_10_hit2_rate,top_10_avg_actual,top_10_lift_hit1,top_10_lift_hit2,top_10_lift_avg,top_20_hit1_rate,top_20_hit2_rate,top_20_avg_actual,top_20_lift_hit1,top_20_lift_hit2,top_20_lift_avg,calibration_80,mae,spearman_elfies_v2,spearman_elfies_v1,spearman_elfies_standout
2025-12-20,587,0.339,0.0784,0.4293,587,0.4,0.2,0.6,1.1799,2.5522,1.3976,0.2,0.1,0.3,0.5899,1.2761,0.6988,0.35,0.05,0.4,1.0324,0.638,0.9317,0.7615,0.4654,0.2882,0.2839,0.1782
2025-12-21,410,0.261,0.0854,0.3683,410,0.8,0.0,0.8,3.0654,0.0,2.1722,0.6,0.1,0.7,2.2991,1.1714,1.9007,0.6,0.15,0.8,2.2991,1.7571,2.1722,0.8488,0.4775,0.3034,0.289,0.0298
2025-12-22,176,0.2614,0.0511,0.3182,176,0.4,0.4,0.8,1.5304,7.8222,2.5143,0.3,0.2,0.5,1.1478,3.9111,1.5714,0.3,0.1,0.4,1.1478,1.9556,1.2571,0.875,0.4988,0.205,0.1912,0.0538
2025-12-23,592,0.2635,0.0726,0.3615,592,0.4,0.2,1.2,1.5179,2.7535,3.3196,0.6,0.2,1.2,2.2769,2.7535,3.3196,0.55,0.15,0.9,2.0872,2.0651,2.4897,0.853,0.4732,0.2988,0.2909,0.0514
2025-12-27,591,0.2826,0.0846,0.3926,591,0.4,0.0,0.4,1.4156,0.0,1.019,0.4,0.0,0.4,1.4156,0.0,1.019,0.5,0.15,0.7,1.7695,1.773,1.7832,0.8274,0.4803,0.2931,0.2917,0.0687
2025-12-28,230,0.2913,0.0783,0.387,230,0.8,0.2,1.0,2.7463,2.5556,2.5843,0.7,0.4,1.2,2.403,5.1111,3.1011,0.5,0.25,0.85,1.7164,3.1944,2.1966,0.813,0.4809,0.2962,0.2841,0.107
2025-12-29,494,0.2895,0.0567,0.3623,494,0.4,0.4,1.0,1.3818,7.0571,2.7598,0.4,0.2,0.7,1.3818,3.5286,1.9318,0.45,0.15,0.65,1.5545,2.6464,1.7939,0.8381,0.4682,0.2756,0.263,0.0721
2025-12-30,227,0.2555,0.0881,0.3436,227,0.6,0.2,0.8,2.3483,2.27,2.3282,0.6,0.2,0.8,2.3483,2.27,2.3282,0.6,0.25,0.85,2.3483,2.8375,2.4737,0.8678,0.4692,0.2388,0.2292,0.018
2025-12-31,449,0.2873,0.069,0.3719,449,0.6,0.4,1.0,2.0884,5.7935,2.6886,0.5,0.4,1.1,1.7403,5.7935,2.9575,0.45,0.35,0.95,1.5663,5.0694,2.5542,0.8241,0.4864,0.2265,0.221,0.0501
2026-01-01,363,0.3361,0.1129,0.4931,363,1.0,0.6,1.8,2.9754,5.3122,3.6503,0.9,0.4,1.4,2.6779,3.5415,2.8391,0.7,0.35,1.2,2.0828,3.0988,2.4335,0.7769,0.513,0.3304,0.3111,0.0639
2026-01-02,136,0.3235,0.0882,0.4412,136,0.8,0.2,1.4,2.4727,2.2667,3.1733,0.7,0.4,1.4,2.1636,4.5333,3.1733,0.6,0.3,1.1,1.8545,3.4,2.4933,0.8529,0.494,0.3283,0.3284,0.085
2026-01-03,274,0.2263,0.0474,0.281,274,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4419,2.1077,1.0675,0.25,0.15,0.45,1.1048,3.1615,1.6013,0.8321,0.4875,0.1481,0.136,-0.0372
2026-01-04,144,0.2986,0.0903,0.4375,144,0.6,0.2,0.8,2.0093,2.2154,1.8286,0.7,0.3,1.1,2.3442,3.3231,2.5143,0.6,0.35,1.15,2.0093,3.8769,2.6286,0.8333,0.4669,0.454,0.4353,0.2602
2026-01-05,167,0.1677,0.024,0.1976,167,0.2,0.0,0.2,1.1929,0.0,1.0121,0.2,0.1,0.3,1.1929,4.175,1.5182,0.25,0.05,0.3,1.4911,2.0875,1.5182,0.8503,0.4468,0.0572,0.0434,-0.054
2026-01-13,455,0.2374,0.0505,0.3011,455,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.8426,0.0,0.6642,0.35,0.05,0.4,1.4745,0.9891,1.3285,0.8044,0.455,0.1414,0.1272,-0.0155
2026-01-14,181,0.2873,0.1326,0.4475,181,1.0,0.4,1.4,3.4808,3.0167,3.1284,1.0,0.4,1.4,3.4808,3.0167,3.1284,0.8,0.4,1.25,2.7846,3.0167,2.7932,0.8508,0.476,0.3622,0.3419,0.0522
2026-01-15,458,0.2642,0.0699,0.3515,458,0.6,0.0,0.6,2.2711,0.0,1.7068,0.6,0.1,1.0,2.2711,1.4313,2.8447,0.55,0.3,1.25,2.0818,4.2938,3.5559,0.8384,0.458,0.2626,0.2462,-0.0178
2026-01-16,225,0.2711,0.1022,0.4089,225,0.8,0.0,0.8,2.9508,0.0,1.9565,0.7,0.1,0.8,2.582,0.9783,1.9565,0.65,0.15,0.95,2.3975,1.4674,2.3234,0.8178,0.5231,0.1073,0.0886,-0.0882
2026-01-17,591,0.3198,0.0981,0.4416,591,0.8,0.0,0.8,2.5016,0.0,1.8115,0.9,0.1,1.1,2.8143,1.019,2.4908,0.9,0.3,1.3,2.8143,3.0569,2.9437,0.8071,0.5096,0.3509,0.3388,0.1141
2026-01-18,134,0.291,0.0672,0.3657,134,0.6,0.0,0.6,2.0615,0.0,1.6408,0.6,0.1,0.7,2.0615,1.4889,1.9143,0.8,0.15,1.0,2.7487,2.2333,2.7347,0.8881,0.4241,0.4248,0.4095,0.1206
2026-01-19,459,0.244,0.0675,0.3181,459,0.6,0.4,1.0,2.4589,5.9226,3.1438,0.6,0.5,1.1,2.4589,7.4032,3.4582,0.65,0.5,1.2,2.6638,7.4032,3.7726,0.8649,0.4472,0.2588,0.2568,0.0625
2026-01-20,362,0.2597,0.0829,0.3674,362,0.8,0.6,1.4,3.0809,7.24,3.8105,0.7,0.3,1.0,2.6957,3.62,2.7218,0.55,0.2,0.75,2.1181,2.4133,2.0414,0.8315,0.4724,0.2881,0.2789,0.1123
2026-01-21,272,0.2316,0.0662,0.3088,272,0.4,0.2,0.8,1.727,3.0222,2.5905,0.5,0.2,0.8,2.1587,3.0222,2.5905,0.45,0.2,0.7,1.9429,3.0222,2.2667,0.864,0.4719,0.2344,0.2297,0.0173
2026-01-22,363,0.27,0.0468,0.3333,363,0.2,0.2,0.6,0.7408,4.2706,1.8,0.1,0.1,0.3,0.3704,2.1353,0.9,0.45,0.15,0.7,1.6668,3.2029,2.1,0.8595,0.4098,0.3647,0.3547,0.1014
2026-01-23,364,0.2885,0.0632,0.3654,364,0.6,0.0,0.6,2.08,0.0,1.6421,0.5,0.0,0.5,1.7333,0.0,1.3684,0.55,0.05,0.6,1.9067,0.7913,1.6421,0.7995,0.4391,0.2457,0.2336,0.0779
2026-01-24,407,0.3022,0.1081,0.4595,407,0.8,0.2,1.0,2.6472,1.85,2.1765,0.7,0.2,0.9,2.3163,1.85,1.9588,0.65,0.2,0.85,2.1508,1.85,1.85,0.8354,0.4801,0.4535,0.4385,0.1113
2026-01-25,275,0.2691,0.0691,0.3527,275,0.4,0.0,0.4,1.4865,0.0,1.134,0.6,0.1,0.7,2.2297,1.4474,1.9845,0.4,0.05,0.45,1.4865,0.7237,1.2758,0.8145,0.5108,0.1943,0.1887,0.032
2026-01-26,184,0.2663,0.0652,0.3587,184,0.8,0.6,1.8,3.0041,9.2,5.0182,0.7,0.4,1.3,2.6286,6.1333,3.6242,0.6,0.3,1.05,2.2531,4.6,2.9273,0.8424,0.4967,0.2593,0.2544,0.011
2026-01-27,453,0.2826,0.064,0.3709,453,0.2,0.2,0.8,0.7078,3.1241,2.1571,0.5,0.2,0.9,1.7695,3.1241,2.4268,0.5,0.15,0.8,1.7695,2.3431,2.1571,0.8278,0.438,0.3265,0.3095,0.0894
2026-01-28,137,0.365,0.073,0.4526,137,0.8,0.4,1.2,2.192,5.48,2.6516,0.7,0.3,1.0,1.918,4.11,2.2097,0.6,0.2,0.8,1.644,2.74,1.7677,0.8686,0.4887,0.404,0.3764,0.2086
2026-01-29,680,0.2838,0.075,0.3838,680,1.0,0.6,1.8,3.5233,8.0,4.6897,0.9,0.3,1.3,3.171,4.0,3.387,0.7,0.15,0.9,2.4663,2.0,2.3448,0.8515,0.4675,0.3437,0.3371,0.095
2026-01-30,46,0.1957,0.1087,0.3478,46,1.0,0.6,2.0,5.1111,5.52,5.75,0.5,0.3,1.0,2.5556,2.76,2.875,0.4,0.25,0.75,2.0444,2.3,2.1562,0.913,0.4165,0.5182,0.5053,0.2502
2026-01-31,637,0.3077,0.0612,0.3783,637,0.8,0.2,1.0,2.6,3.2667,2.6432,0.8,0.2,1.0,2.6,3.2667,2.6432,0.6,0.15,0.75,1.95,2.45,1.9824,0.8477,0.4463,0.3573,0.3444,0.0895
2026-02-01,180,0.2833,0.0722,0.4,180,0.8,0.4,1.2,2.8235,5.5385,3.0,0.7,0.4,1.4,2.4706,5.5385,3.5,0.5,0.25,1.05,1.7647,3.4615,2.625,0.8333,0.4892,0.2428,0.2265,0.0775
2026-02-02,450,0.3022,0.0978,0.4356,450,0.2,0.2,0.6,0.6618,2.0455,1.3776,0.4,0.1,0.6,1.3235,1.0227,1.3776,0.5,0.2,0.85,1.6544,2.0455,1.9515,0.8267,0.5093,0.3334,0.3234,0.073
2026-02-03,273,0.2418,0.0769,0.3333,273,0.8,0.0,0.8,3.3091,0.0,2.4,0.6,0.0,0.6,2.4818,0.0,1.8,0.55,0.1,0.65,2.275,1.3,1.95,0.8645,0.4935,0.2343,0.2235,0.0708
2026-02-04,689,0.2642,0.0595,0.3469,689,0.6,0.2,0.8,2.2714,3.361,2.3063,0.6,0.2,0.8,2.2714,3.361,2.3063,0.5,0.2,0.8,1.8929,3.361,2.3063,0.8374,0.4584,0.2956,0.2824,0.0427
2026-02-05,58,0.1034,0.0517,0.1552,58,0.8,0.2,1.0,7.7333,3.8667,6.4444,0.5,0.2,0.7,4.8333,3.8667,4.5111,0.25,0.1,0.35,2.4167,1.9333,2.2556,0.9138,0.3288,0.3692,0.3546,0.236
